101,Patty O’Furniture,11234560,active,abcd@gmail.com
102,Paddy O’Furniture,11234561,inactive,defg@gmail.com
103,Olive Yew,11234562,active,abcd@gmail.com
104,Aida Bugg,11234563,active,defg@gmail.com
105,Maureen Biologist,11234564,active,abcd@gmail.com
106,Teri Dactyl,11234565,inactive,defg@gmail.com
107,Peg Legge,11234566,inactive,abcd@gmail.com
108,Allie Grater,11234567,inactive,defg@gmail.com
109,Liz Erd,11234568,active,abcd@gmail.com
110,A. Mused,11234569,active,defg@gmail.com
111,Constance Noring,11234570,inactive,abcd@gmail.com
